HEALTHY_FEATURES,,OBJEKT,,SYNONYMS-woxikon,,SYNONYMS-thesaurus,HIERARCHY
Gänseblümchenartig,,[],,[[]],,[''],
regelmäßige Anordnung weißer Anteile,,[],,"[[], ['Verfügung', 'Gattung', 'Führung', 'Leitung', 'Kategorie', 'Schritt', 'Gestalt', 'Bestimmung', 'Kontext', 'Berechnung', 'Einteilung', 'Design', 'Befehl', 'Reihenfolge', 'Anordnung', 'Mischung', 'Order', 'Bedingung', 'Auflage', 'Festlegung', 'Erlass', 'Anweisung', 'Verpflichtung', 'Formation', 'Zusammenstellung', 'Beschaffenheit', 'Gebot', 'Gruppierung', 'Statut', 'Appell', 'Platzierung', 'Gesetzentwurf', 'Positionierung', 'Karosserie', 'Klasse', 'Mahnung', 'Formierung', 'Memento', 'Grundgerüst', 'Diktat', 'Abstufung', 'Direktive', 'Ordnung'], ['Weiß', 'weiß', 'Niederschlag', 'leer', 'weißlich', 'bleich', 'schneeweiß', 'fahl', 'reinweiß', 'bereift', 'unausgefüllt', 'blaß', 'weiß', 'kreidebleich', 'winterlich'], ['Menge', 'Interesse', 'Beitrag', 'Maß', 'Beteiligung', 'Teilnahme', 'Aufmerksamkeit', 'Gefühl', 'Mitwirkung', 'Abgabe', 'Teilstück', 'Anteilnahme', 'Barmherzigkeit', 'Bruchstück', 'Wertpapier', 'Teil', 'Provision', 'Einzelheit', 'Stück', 'Anteil', 'Teilbetrag', 'Pflichtbeitrag', 'halber', 'Beisteuer']]",,"['', ['Anordnung', 'Anweisung', 'Instruktion', 'Vorschrift'], ['Weißer', 'Bleichgesicht', 'Europide', 'Europider', 'Kaukasier', 'Langnase', 'Weißbrot'], '']",
Drüse klar abgegrenzt,,['DRÜSE'],,"[[], ['deutlich', 'bestimmt', 'rein', 'klar', 'eindeutig', 'sicher', 'durchaus', 'offen', 'offenbar', 'sichtbar', 'erkennbar', 'natürlich', 'entschieden', 'ausdrücklich', 'gegliedert', 'explizit', 'gelöst', 'schön', 'offensichtlich', 'konkret', 'präzise', 'verständlich', 'selbstverständlich', 'fein', 'anschaulich', 'abgegrenzt', 'sicherlich', 'entschlossen', 'freundlich', 'nachvollziehbar', 'einverstanden'], ['begrenzt', 'abgegrenzt', 'vorhersagbar']]",,"[['Drüse'], ['durchscheinend', 'durchsichtig', 'klar', 'transparent', 'ungetrübt'], '']",
Segmente kreisförmig um Mittelpunkt,,[],,"[['Bestandteil', 'Detail', 'Fragment', 'Teilstück', 'Teil', 'Einzelheit', 'Abschnitt'], ['rund', 'kreisförmig', 'kugelförmig'], ['ungefähr', 'circa', 'beinahe', 'annähernd', 'vorbei', 'zirka', 'schätzungsweise', 'ringsum', 'reihum', 'aus', 'aufgrund', 'gegen', 'für', 'zu', 'um'], ['Mitte', 'Hauptstadt', 'Zentrum', 'Quelle', 'Schutz', 'Mittelpunkt', 'Schwerpunkt', 'Gipfel', 'Kreuzung', 'Psyche', 'Brennpunkt', 'Einmündung', 'Hochburg', 'Nordpol', 'Protagonist', 'Knotenpunkt', 'Südpol', 'Geschäftsstelle', 'Hauptsache', 'Herd', 'Attraktion', 'Zentralstelle', 'Innerste', 'Kernstück', 'Herzstück', 'Kreuzungspunkt', 'Stammhaus', 'Angelpunkt', 'Mittelweg', 'Hauptperson', 'Drehpunkt', 'Kernpunkt', 'Hauptgeschäftsstelle', 'Mittelding', 'Tummelplatz', 'Sitz']]",,"['', ['kreisförmig', 'kreisrund', 'rund', 'zirkulär'], ['ungefähr', 'annähernd', 'annäherungsweise', 'ca.', 'circa', 'etwa', 'gegen', 'geschätzt', 'grob (geschätzt)', 'grob gesagt', 'in etwa', '(Betrag) plus/minus (Abweichungsbetrag/Toleranz)', 'rund', 'schätzungsweise', 'Stücker (+ Zahl)', 'überschlägig', 'um', 'vielleicht', 'zirka', 'approximativ', 'näherungsweise', 'wohl', 'gefühlt', '(so) in dem Dreh', 'lass es (+ Zahl) gewesen sein', 'lass es (+ Zahl) sein', 'mehr oder weniger', 'Pi mal Daumen', 'plus/minus (Betrag)', 'so circa', 'so (in) etwa', 'so gegen', 'so um die', 'so ungefähr', 'über den Daumen (gepeilt)', 'um den Dreh (rum)', 'um die'], ['Kern', 'Knotenpunkt', 'Mittelpunkt', 'Zentrum', 'Epizentrum', 'Herzstück']]",
weis vor rotem Grund,,[],,"[[], ['hinaus', 'heraus', 'voraus', 'zeitlich', 'räumlich', 'wegen', 'vor', 'bisher', 'auf'], [], ['Gebiet', 'Grund', 'Erde', 'Zusammenhang', 'Basis', 'Boden', 'Ursache', 'Gelände', 'Anlass', 'Begründung', 'Nachweis', 'Voraussetzung', 'Ausgangspunkt', 'Motiv', 'Bedingung', 'Beleg', 'Antrieb', 'Argument', 'Auslöser', 'Areal', 'Fundament', 'Grundstück', 'Anstoß', 'Veranlassung', 'Acker', 'Kausalität', 'Erdboden', 'Abgrund', 'Unterbau', 'Terrain', 'Unterlage']]",,"[['europid', 'kaukasisch', 'weiß'], ['Präliminar...', 'Vor...'], '', ['Boden', 'Grund', 'Grund und Boden', 'Land']]",
qshift,,[],,[[]],,[''],
Blumenförmig,,"['DRÜSE', 'LUMEN']",,[[]],,[''],
Symmetrie ,,[],,"[['Übereinstimmung', 'Symmetrie', 'Proportionalität', 'Gleichmaß', 'Gleichheit', 'Gleichberechtigung']]",,"[['Gleichmaß', 'Gleichmäßigkeit', 'Gleichseitigkeit', 'Spiegelbildlichkeit', 'Symmetrie']]",
Stroma netzförmig,,['STROMA'],,"[[], ['netzartig']]",,"[['Zellzwischenraum', 'Interstitium', 'Stroma'], '']",
Gland boundary stabil ,,['DRÜSE'],,"[[], [], ['fest', 'üblich', 'dauerhaft', 'stabil', 'fix', 'kompakt', 'zuverlässig', 'beständig', 'kräftig', 'gesund', 'haltbar', 'robust', 'solide', 'widerstandsfähig', 'fundiert', 'standhaft', 'dickflüssig', 'unumstößlich', 'strapazierfähig', 'gestählt', 'bruchfest', 'gleich', 'gleichbleibend', 'von', 'waschecht', 'unverderblich', 'fest', 'knochenhart', 'gleich', 'florierend', 'völlig']]",,"['', '', ['belastbar', 'bestandskräftig', 'ehern', 'fest', 'haltbar', 'kräftig', 'robust', 'solide', 'stabil', 'stark', 'stattlich', 'tragfähig', 'zäh', 'resilient', 'taff']]",
Gland boundary dicker ,,['DRÜSE'],,"[[], [], ['Übergewicht', 'Dicker', 'Straßenwalze', 'Fettmops', 'Dickwanst', 'Fettwanst']]",,"['', '', ['dicker Mensch', 'Dicke', 'Dicker', 'Brecher', 'Brocken', 'Brummer', 'Dampfwalze', 'Dickerchen', 'Dickmadam', 'Elefantenküken', 'Fettmops', 'Koloss', 'Kugel', 'Moppel', 'Mops', 'Person von Gewicht', 'Prachtexemplar', 'Pummelchen', 'Rollmops', 'Schwergewicht', 'Dickwanst', 'Fass', 'Fettbauch', 'fette Sau', 'fettes Schwein', 'Fettkloß', 'Fettsack', 'Fettwanst', 'Fleischberg', 'Quetschwurst', 'Tonne']]",
Normal crypt architecture,,[],,"[['einfach', 'üblich', 'richtig', 'gewöhnlich', 'gebräuchlich', 'normal', 'planmäßig', 'gesund', 'gewohnt', 'trivial', 'gemäßigt', 'befriedigend', 'erwartungsgemäß', 'alltäglich', 'herkömmlich', 'einleuchtend', 'jugendlich', 'wohlbekannt', 'munter', 'vorschriftsgemäß', 'ordnungsmäßig', 'gängig', 'im', 'sehr', 'allgemein', 'der'], [], []]",,"[['alltäglich', 'an der Tagesordnung', 'die Regel (sein)', 'gang und gäbe', 'gängig', 'gebräuchlich', 'geläufig', '(ein)geübt', 'gewöhnlich', 'handelsüblich', 'häufig', 'herkömmlich', 'kein Einzelfall', 'klassisch', 'konventionell', 'nicht selten', 'normal', 'ortsüblich', 'tägliches Brot (sein)', 'üblich', 'verbreitet', 'weit verbreitet', 'weitverbreitet', 'zum täglichen Brot gehören', 'man kennt das (von)'], '', '']",
H &E,,[],,"[[], []]",,"['', '']",
Basaly located nuclei,,[],,"[[], [], []]",,"['', '', '']",
No inflammation,,[],,"[[], ['Feuer', 'Infektion', 'Flammenmeer']]",,"[['nein', 'auf gar keinen Fall', 'auf keinen Fall', 'ausgeschlossen', 'keineswegs', 'mitnichten', 'nicht doch!', 'negativ', 'nicht im Entferntesten', 'nicht im Geringsten', 'weit gefehlt', 'denkste', 'Fehlanzeige', 'Gott behüte!', 'ist nicht', 'kein Gedanke', 'keine Spur', 'mit Nichten und mit Neffen (Kalauer)', 'nä', 'naa', 'Nachtigall, ick hör dir trapsen.', 'nee', 'nichts da', 'nix da', 'nö', 'von wegen!'], ['Entzündung', 'Inflammatio', 'Inflammation']]",
Goblet cells,,"['ZELLE', 'ZELLE']",,"[[], []]",,"['', '']",
eosinophile Färbung,,[],,"[[], ['Richtung', 'Farbe', 'Tendenz', 'Strömung', 'Färbung', 'Glanz', 'Einschlag', 'Farbton', 'Tonqualität', 'Kolorit', 'Tönung', 'Art', 'Nuance', 'Farbabstufung']]",,"['', ['Einschlag', 'Entwicklung', 'Färbung', 'Neigung', 'Strömung', 'Tendenz', 'Trend']]",
einschichtiges Epithel,,['ZELLE'],,"[[], ['Zellschicht', 'oberste']]",,"['', ['Deckgewebe', 'Epithel']]",
Zellkerne,,['ZELLE'],,[[]],,[''],
physiologisch?,,[],,[[]],,[''],
Becherzellen?,,"['ZELLE', 'ZELLE', 'ZELLE']",,[[]],,[''],
Sehr dunkle Drüsenbegrenzung,,['DRÜSE'],,"[['extrem', 'äußerst', 'ziemlich', 'allzu', 'beängstigend', 'grundlegend', 'in', 'aufs'], ['dunkeln', 'dämmern', 'verdunkeln', 'dunkel', 'dunkel'], []]",,"[['sehr (vor Adjektiv oder Adverb)', 'allzu', 'ausgesprochen', 'außergewöhnlich', 'außerordentlich', 'äußerst', 'besonders', 'enorm', 'hochgradig', 'in höchstem Maße', 'massiv', 'mehr als', 'stark', 'überaus', 'ungemein', 'zutiefst', 'höchlichst', 'schwer'], '', '']",
große weiße Epithelzellen,,"['ZELLE', 'ZELLE', 'ZELLE']",,"[['Älteste', 'älteste', 'Erstgeborene', 'Große'], ['Biersorte', 'weißen', 'kolorieren', 'anstreichen', 'Weiß', 'weiß', 'Niederschlag', 'leer'], []]",,"[['Abmessung', 'Ausdehnung', 'Ausmaß', 'Dimension', 'Ebene', 'Format', 'Größe', 'Größenordnung', 'Magnitude', 'Kaliber', 'Liga'], ['Weißbier', 'Weiße', 'Weizenbier', 'Weizen'], '']",
